source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
bl84.00,0,READ_DAAD,ADALAT RETARD 10mg m/r tablets,21044957,RxNorm Extension,1970-01-01,2099-12-31,
bl8P.00,0,READ_DAAD,*ANGIOPINE MR 10mg m/r tablets,21133179,RxNorm Extension,1970-01-01,2099-12-31,
bll2.00,0,READ_DAAD,SLOFEDIPINE XL 60mg m/r tablets,21064639,RxNorm Extension,1970-01-01,2099-12-31,
bl86.00,0,READ_DAAD,NIFEDIPINE 10mg capsules,21074558,RxNorm Extension,1970-01-01,2099-12-31,
bl8Z.00,0,READ_DAAD,NIVATEN RETARD 20mg m/r tablets,21044941,RxNorm Extension,1970-01-01,2099-12-31,
bl8S.00,0,READ_DAAD,NIFEDIPRESS MR 10 m/r tablets,21093971,RxNorm Extension,1970-01-01,2099-12-31,
bll9.00,0,READ_DAAD,KENTIPINE MR 20mg m/r tablets,21064623,RxNorm Extension,1970-01-01,2099-12-31,
bl8g.00,0,READ_DAAD,*ANGIOPINE 10mg capsules,21074560,RxNorm Extension,1970-01-01,2099-12-31,
bl8J.00,0,READ_DAAD,TENSIPINE MR 10 m/r tablets,21172616,RxNorm Extension,1970-01-01,2099-12-31,
bl8e.00,0,READ_DAAD,CORACTEN SR 20mg m/r capsules,21172597,RxNorm Extension,1970-01-01,2099-12-31,
bd5a.00,0,READ_DAAD,TRANDATE 400mg tablets,21105356,RxNorm Extension,1970-01-01,2099-12-31,
bl8l.00,0,READ_DAAD,*CARDILATE MR 20mg m/r tablets,21143120,RxNorm Extension,1970-01-01,2099-12-31,
bl8M.00,0,READ_DAAD,ADALAT LA 20mg m/r tablets,21123305,RxNorm Extension,1970-01-01,2099-12-31,
bl8f.00,0,READ_DAAD,*ANGIOPINE 5mg capsules,21143144,RxNorm Extension,1970-01-01,2099-12-31,
bd5u.00,0,READ_DAAD,*LABETALOL 200mg tablets,21174111,RxNorm Extension,1970-01-01,2099-12-31,
bl8m.00,0,READ_DAAD,*ANGIOPINE MR 20mg tablets,21093960,RxNorm Extension,1970-01-01,2099-12-31,
bl8y.00,0,READ_DAAD,NIFEDIPINE 60mg m/r tablets,21143137,RxNorm Extension,1970-01-01,2099-12-31,
bl8R.00,0,READ_DAAD,GENALAT RETARD 20mg m/r tablets,21044941,RxNorm Extension,1970-01-01,2099-12-31,
bl8A.00,0,READ_DAAD,ADIPINE MR 20 m/r tablets,21133164,RxNorm Extension,1970-01-01,2099-12-31,
bll..00,0,READ_DAAD,NIFEDIPINE [2],1318853,RxNorm,1970-01-01,2099-12-31,
bl8p.00,0,READ_DAAD,*CALANIF 5mg capsules,21143144,RxNorm Extension,1970-01-01,2099-12-31,
bl8T.00,0,READ_DAAD,NIVATEN RETARD 10mg m/r tablets,21162882,RxNorm Extension,1970-01-01,2099-12-31,
bl8G.00,0,READ_DAAD,*ANGIOPINE 40 LA m/r tablets,21044968,RxNorm Extension,1970-01-01,2099-12-31,
bl8r.00,0,READ_DAAD,*NIFEDOTARD 20MR m/r tablets,21044941,RxNorm Extension,1970-01-01,2099-12-31,
bll1.00,0,READ_DAAD,SLOFEDIPINE XL 30mg m/r tablets,21084238,RxNorm Extension,1970-01-01,2099-12-31,
bl8V.00,0,READ_DAAD,NIFEDIPINE 30mg m/r capsules,21050181,RxNorm Extension,1970-01-01,2099-12-31,
bl8L.00,0,READ_DAAD,FORTIPINE LA40 m/r tablets,21172625,RxNorm Extension,1970-01-01,2099-12-31,
bll8.00,0,READ_DAAD,KENTIPINE MR 10mg m/r tablets,21113711,RxNorm Extension,1970-01-01,2099-12-31,
bll6.00,0,READ_DAAD,CALCHAN MR 20mg m/r tablets,21153002,RxNorm Extension,1970-01-01,2099-12-31,
bd5..00,0,READ_DAAD,LABETALOL HYDROCHLORIDE,1386957,RxNorm,1970-01-01,2099-12-31,
bllh.00,0,READ_DAAD,VALNI XL 60mg m/r tablets,21162894,RxNorm Extension,1970-01-01,2099-12-31,
blll.00,0,READ_DAAD,ADANIF XL 60mg m/r tablets,21153034,RxNorm Extension,1970-01-01,2099-12-31,
bd5z.00,0,READ_DAAD,LABETALOL 100mg/20mL injection,589502,RxNorm Extension,1970-01-01,2099-12-31,
bd59.00,0,READ_DAAD,TRANDATE 200mg tablets,21026830,RxNorm Extension,1970-01-01,2099-12-31,
bllj.00,0,READ_DAAD,NIDEF 60mg m/r tablets,21143137,RxNorm Extension,1970-01-01,2099-12-31,
bl81.00,0,READ_DAAD,ADALAT 5mg capsules,41186237,RxNorm Extension,1970-01-01,2099-12-31,
bd51.00,0,READ_DAAD,LABETALOL 100mg tablets,21026834,RxNorm Extension,1970-01-01,2099-12-31,
bd5t.00,0,READ_DAAD,*LABETALOL 100mg tablets,21026834,RxNorm Extension,1970-01-01,2099-12-31,
bllk.00,0,READ_DAAD,ADANIF XL 30mg m/r tablets,21123315,RxNorm Extension,1970-01-01,2099-12-31,
bl83.00,0,READ_DAAD,ADALAT RETARD 20mg m/r tablets,21143124,RxNorm Extension,1970-01-01,2099-12-31,
bd53.00,0,READ_DAAD,LABETALOL 400mg tablets,21046495,RxNorm Extension,1970-01-01,2099-12-31,
bd5x.00,0,READ_DAAD,*LABETALOL 200mg tablets,21174111,RxNorm Extension,1970-01-01,2099-12-31,
bl8t.00,0,READ_DAAD,NIFOPRESS RETARD 20mg m/r tablets,21044943,RxNorm Extension,1970-01-01,2099-12-31,
bl87.00,0,READ_DAAD,ADALAT-IC 200micrograms/2mL injection,41343814,RxNorm Extension,1970-01-01,2099-12-31,
bd57.00,0,READ_DAAD,TRANDATE 50mg tablets,21144591,RxNorm Extension,1970-01-01,2099-12-31,
bd5y.00,0,READ_DAAD,*LABETALOL 400mg tablets,21046495,RxNorm Extension,1970-01-01,2099-12-31,
bl8x.00,0,READ_DAAD,NIFEDIPINE 30mg m/r tablets,43206508,RxNorm Extension,1970-01-01,2099-12-31,
bd5v.00,0,READ_DAAD,LABETALOL 50mg tablets,21056247,RxNorm Extension,1970-01-01,2099-12-31,
bl82.00,0,READ_DAAD,ADALAT 10mg capsules,40967355,RxNorm Extension,1970-01-01,2099-12-31,
bl88.00,0,READ_DAAD,NIFEDIPINE-IC 200micrograms/2mL injection,41339386,RxNorm Extension,1970-01-01,2099-12-31,
bd5w.00,0,READ_DAAD,*LABETALOL 100mg tablets,21026834,RxNorm Extension,1970-01-01,2099-12-31,
bl8z.00,0,READ_DAAD,NIFEDIPINE 20mg m/r tablets,21044941,RxNorm Extension,1970-01-01,2099-12-31,
bl8E.00,0,READ_DAAD,*NIMODREL MR 20 m/r tablets,21044941,RxNorm Extension,1970-01-01,2099-12-31,
bl8X.00,0,READ_DAAD,CORACTEN XL 30mg m/r capsules,21074565,RxNorm Extension,1970-01-01,2099-12-31,
